,FEOOS Event Date,Delivery Date,Brand Name,Item Name,Warehouse,Location Name,Overrode Skip Inventory Check (Yes / No),Skip OOS Orders,Quantity of FEOOS Items Requested in Sales Units
2464,2026-04-16,2026-04-17,Karat,Karat White Paper Bags - 4lb (FP-SOS04W),EWR1,Charlotte Cafe - 1158 2nd Avenue,No,Disabled,1
2465,2026-04-16,2026-04-20,Monin,Monin Wildberry Puree 1L,MIA1,Third Place Coffee Lounge - 325 Northeast Spanish River Boulevard,No,Disabled,2
2466,2026-04-16,2026-04-18,Loonen,Loonen Still Water 750mL Glass Bottle,EWR1,Matchaful - 240 East 54th Street,No,Disabled,2
2467,2026-04-16,2026-04-17,Cell-O-Core Co,"Cell-O-Core Black Giant Straws, Wrapped, 8"" (Package of 500)",DFW1,Huitzitzilin Café - 1836 West Jefferson Boulevard,No,Disabled,3
2468,2026-04-16,2026-04-17,Ghirardelli,Ghirardelli White Frappe  3.12lb Can,MDT1,Strasburg Marketplace - 214 Hartman Bridge Road,No,Disabled,4
2469,2026-04-16,2026-04-17,Compass Coffee,Compass Coffee French Roast - 12 oz,DCA1,Union Kitchen - 538 3rd St NE,No,Disabled,1
2470,2026-04-16,2026-04-17,P3,P3 Turkey Almonds Colby Jack Portable Protein Pack - 10 / 2 oz ea,DCA1,Union Kitchen - 430 8th St SE,No,Disabled,1
2471,2026-04-16,2026-04-21,Ghirardelli,Ghirardelli White Frappe  3.12lb Can,PWM1,Prime Roast Coffee Company - 16 Main Street,No,Disabled,10
2472,2026-04-16,2026-04-17,Ghirardelli,Ghirardelli Vanilla Sauce 87.3oz Bottle,EWR1,Beanbury - 37 NJ-10(DO NOT ROADIE),No,Disabled,6
2473,2026-04-16,2026-04-20,1883,1883 Syrup Pump (Plastic),EWR1,Code Brew - 71 Boyle Avenue,No,Disabled,1
2474,2026-04-16,2026-04-17,Ecru,"Ecru Dinner Napkin, 2-Ply, 15"" x 17""",DCA1,Union Kitchen - 430 8th St SE,No,Disabled,1
2475,2026-04-16,2026-04-17,Karat,Karat White Paper Bags - 4lb (FP-SOS04W),EWR1,Common Address - 305 West 60th Street,No,Disabled,1
2476,2026-04-16,2026-04-17,1883,1883 Banana Syrup 1L Glass Bottle,EWR1,Joe Coffee - 45 Washington Street,No,Disabled,4
2477,2026-04-16,2026-04-17,Karat,"Karat PET Strawless Sipper Lid, 12-24oz (C-KC626TS-SHNE)",SEA1,Sidekick Coffee - 17255 135th Avenue Northeast,No,Disabled,1
2478,2026-04-16,2026-04-20,Lakehouse Coffee,Lakehouse Coffee - Single Pods,ATL1,Liberty House Restaurant Corp. - Bone's - 3130 Piedmont Rd NE,No,Disabled,2
2479,2026-04-16,2026-04-17,Smith Teamaker,Smith Teamaker Unsweetened Matcha 1lb Bag,EWR1,Werkshop Coffee Company - 181 Irving Avenue,No,Disabled,2
2480,2026-04-16,2026-04-17,Olipop,OLIPOP Ginger Ale - 6 / 4 Packs,DCA1,Union Kitchen - 538 3rd St NE,No,Disabled,1
2481,2026-04-16,2026-04-17,1883,1883 Banana Syrup 1L Glass Bottle,EWR1,Joe Coffee - GC Kiosk (Lower Level),No,Disabled,1
2482,2026-04-16,2026-04-23,Monin,Monin Brilliance Dragon Fruit Pink Natural Energy 64oz Bottle,PWM1,Bean Towne Coffee House - 201 New Hampshire 111,No,Disabled,1
2483,2026-04-16,2026-04-17,Karat,"Karat Low Density Trash Can Liner, 55-60 Gal, 1.5 Mil, 38"" x 58"" (JS-LL385815B)",BNA1,ARRIVAL Coffee - 5838 Branta Drive,No,Disabled,1
2484,2026-04-16,2026-04-17,Topo Chico,Topo Chico Lime 12oz,LAX1,Bodhi Leaf Coffee - 428 West Katella Avenue,No,Disabled,1
2485,2026-04-16,2026-04-17,Barista 22,Barista 22 Almond Syrup 750ml,LAX1,Cafe Cito (Suavecito) - 400 West 4th Street,No,Disabled,2
2486,2026-04-16,2026-04-17,Monin,Monin Caramel Syrup 1 Liter Plastic Bottle,HOU1,Minuti - 12649 Memorial Drive,No,Disabled,2
2487,2026-04-16,2026-04-17,Natalie's Orchard Island,Natalie's Orchard Island Organic Orange Juice - 6 / 12 oz btl,DCA1,Union Kitchen - 538 3rd St NE,No,Disabled,2
2488,2026-04-16,2026-04-17,SOLO,Solo *New 32oz. Human Bean Cold Cup Case of 500,SDF1,The Human Bean Corp - Fort Oglethorpe - Patel - 735 Battlefield Parkway,No,Disabled,1
2489,2026-04-16,2026-04-17,Ghirardelli,Ghirardelli Chocolate Frappe 3.12lb Can,SEA1,Grounds Coffee Co - 15012 Juanita Drive Northeast,No,Disabled,1
2490,2026-04-16,2026-04-17,Mooala,Mooala Barista Almond Milk 32oz,EWR1,Brewed By Jose - 2374 Nostrand Avenue,No,Disabled,1
2491,2026-04-16,2026-04-20,Humankind,Humankind Apple Juice 10oz,SMF1,Daycamp Coffee - 1925 Market Pl suite 150,No,Disabled,1
2492,2026-04-16,2026-04-17,1883,1883 Syrup Pump (Plastic),ATL1,Honeysuckle Biscuits and Bakery - 5943 Holly Springs Parkway,No,Disabled,1
2493,2026-04-16,2026-04-17,Dr. Smoothie,Dr. Smoothie Watermelon Cucumber Mint Refreshers 46 oz. Bottle,EWR1,Taimoca LLc - 2 South Kinderkamack Road,No,Disabled,3
2494,2026-04-16,2026-04-18,Torani,Torani Sour Candy Syrup 1L Plastic Bottle,EWR1,Cool Sips - 84 South Street,No,Disabled,2
2495,2026-04-16,2026-04-20,1883,1883 Banana Syrup 1L Glass Bottle,MDT1,New Holland Coffee Co - Botanical - 856 W Main St,No,Disabled,1
2496,2026-04-16,2026-04-17,Karat,Karat U-Shape Clear Cold Cup 16oz (C-KC16-U),EWR1,Code Brew - 71 Boyle Avenue,No,Disabled,1
2497,2026-04-16,2026-04-18,Red Jacket Orchards,Red Jacket Zinger Lemonade 1/2 Gallon,EWR1,Bedford Studio - 62 Bedford Street,No,Disabled,1
2498,2026-04-16,2026-04-17,Spindrift,Spindrift Raspberry Lime,CLT1,Summit Coffee - 416 East 36th Street,No,Disabled,1
2499,2026-04-16,2026-04-17,Torani,Torani Sugar Free Salted Caramel Syrup 1L Plastic Bottle,DFW1,The Human Bean Corp - Lubbock - Joslin - 7019 82nd Street,No,Disabled,1
2500,2026-04-16,2026-04-20,1883,1883 Caramel Syrup 1L Plastic,MDT1,Yes - 6195 Chambersburg Road,No,Disabled,2
2501,2026-04-16,2026-04-20,Karat,Karat U-Shape Clear Cold Cup 16oz (C-KC16-U),EWR1,Code Brew - 71 Boyle Avenue,No,Disabled,1
2502,2026-04-16,2026-04-17,Monin,Monin Sugar Free Vanilla Syrup 1 Liter Plastic Bottle,DEN1,Windsor Lakes Coffee - 500 Main St,No,Disabled,2
2503,2026-04-16,2026-04-17,Proper Syrup,Proper Syrup Simple Syrup 750ml,LAX1,The Pour Kids Inc. - 2967 Randolph Avenue,No,Disabled,2
2504,2026-04-16,2026-04-24,Humankind,Humankind Apple Juice 10oz,SMF1,"Baney Corporation - Hotel Katerina 1930 Baney Ln, Chico, CA 95928",No,Disabled,1
2505,2026-04-16,2026-04-17,Monin,Monin Toffee Nut Syrup 750ml Glass,EWR1,Soul Brew - 2718 Grand Avenue,No,Disabled,4
2506,2026-04-16,2026-04-17,Monin,Monin Sugar Free Vanilla Syrup 1 Liter Plastic Bottle,DEN1,Cocos Cafe LLC - 6560 W 29th St,No,Disabled,1
2507,2026-04-16,2026-04-20,Olipop,Olipop Prebiotic Soda - Lemon Lime 12 fl oz (Shelf Stable Sleek Cans),SEA1,Gregory's Coffee - GC57 - 4502 S Steele St,No,Disabled,1
2508,2026-04-16,2026-04-20,Torani,Torani Cherry Syrup 750 ml Plastic Bottle(s),MIA1,"Aroma Joe's (master) - Pompano Beach, FL #84 - 1450 Powerline Road",No,Disabled,1
2509,2026-04-16,2026-04-17,BKE Kombucha,BKE Mango Kombucha,EWR1,Mast Market - 353 Columbus Avenue,No,Disabled,1
2510,2026-04-16,2026-04-17,Monin,Monin Coconut Syrup 750ml Glass,LAX1,Daily Brew Coffee House - 2955 Van Buren Boulevard,No,Disabled,2
2511,2026-04-16,2026-04-17,Kettle Brand,Kettle Brand Salt & Vinegar - 8 / 5 oz bag,DCA1,Union Kitchen - 538 3rd St NE,No,Disabled,1
2512,2026-04-16,2026-04-17,Rishi,Rishi Botanicals Black Lemon 12oz,EWR1,Caffe Vita Coffee Roasting Co. - 576 Johnson Avenue,No,Disabled,1
2513,2026-04-16,2026-04-17,Dream,Dream Organic Original Rice Milk 32oz,DFW1,Cafe Duro - 2804 Greenville Avenue,No,Disabled,7
2514,2026-04-16,2026-04-17,Mooala,Mooala Barista Almond Milk 32oz,EWR1,Koke - 173 Bleecker Street,No,Disabled,12
2515,2026-04-16,2026-04-20,Monin,Monin Caramel Syrup 1 Liter Plastic Bottle,HOU1,Minuti - 12649 Memorial Drive,No,Disabled,2
2516,2026-04-16,2026-04-17,Liquid Death,Liquid Death Sparkling Water 19.2oz,MIA1,Bright Raven LLC - 15451 Southwest 13 Lane,No,Disabled,1
2517,2026-04-16,2026-04-17,Torani,Torani Brown Sugar Syrup 750ml Glass Bottle,DEN1,CSU - Bean Counter,No,Disabled,2
2518,2026-04-16,2026-04-17,Red Jacket Orchards,Red Jacket Zinger Lemonade 1/2 Gallon,EWR1,Ground Central - 659 Sunrise Hwy - GC5,No,Disabled,2
2519,2026-04-16,2026-04-17,Torani,Torani Creme de Banana Syrup 750ml Glass Bottle,MDT1,Rosie's Coffee - 308 N Spring Mill Rd,No,Disabled,2
2520,2026-04-16,2026-04-18,Bossen,Bossen Cherry Bursting Boba,EWR1,Cool Sips - 1218 Lexington Avenue,No,Disabled,2
2521,2026-04-16,2026-04-18,Rockview Family Farms,Rockview Organic Whole Milk 1/2 Gallon,LAX1,Memory Look - 2889 West Olympic Boulevard,No,Disabled,90
2522,2026-04-16,2026-04-17,Proper Syrup,Proper Syrup Caramel 750ml,EWR1,Àbáké - 2 Webster Avenue,No,Disabled,1
2523,2026-04-16,2026-04-23,Whalebird Kombucha,Whalebird Kombucha - Lavender Lemonade 16oz,SMF1,Caffé Pagato - Mercy - 2175 Rosaline Ave,No,Disabled,1
2524,2026-04-16,2026-04-17,Karat,Karat U-Shape Clear Cold Cup 16oz (C-KC16-U),EWR1,Hybrid Coffee & Kitchen - 398 Manila Ave,No,Disabled,1
2525,2026-04-16,2026-04-17,Monin,Monin Vanilla Syrup 1L Plastic Bottle,DEN1,Windsor Lakes Coffee - 500 Main St,No,Disabled,4
2526,2026-04-16,2026-04-18,Proper Syrup,Proper Syrup Hazelnut 750ml,LAX1,Chamberlain Coffee Inc. - 10250 Santa Monica Boulevard,No,Disabled,3
2527,2026-04-16,2026-04-17,Karat,"Karat PET Strawless Sipper Lid, 12-24oz (C-KC626TS-SHNE)",PDX1,Roseline Coffee - Lake Oswego - 16398 Boones Ferry Road,No,Disabled,1
2528,2026-04-16,2026-04-17,Karat,"Karat PET Strawless Sipper Lid, 12-24oz (C-KC626TS-SHNE)",PDX1,Guilder Cafe - 1005 West Burnside Street,No,Disabled,1
2529,2026-04-16,2026-04-18,Icelandic Glacial,Icelandic Sparkling Water 330ml Glass Bottle,LAX1,Jameson Brown - 260 Allen Avenue,No,Disabled,1
2530,2026-04-16,2026-04-17,Monin,Monin Organic Hazelnut Syrup 750ml Glass,EWR1,Mon Amour - 234 West 238th Street,No,Disabled,1
2531,2026-04-16,2026-04-21,Karat,Karat PP Black Medium-Weight Knives (U2011B),ATL1,BELLWOOD COFFEE LLC - 1336 Glenwood Avenue Southeast,No,Disabled,1
2532,2026-04-16,2026-04-17,BKE Kombucha,BKE Yerba Mate & Lemon Kombucha,EWR1,Mast Market - 353 Columbus Avenue,No,Disabled,1
2533,2026-04-16,2026-04-18,Proper Syrup,Proper Syrup Vanilla 750ml,EWR1,High Beam Coffee - 369 Van Brunt Street,No,Disabled,2
2534,2026-04-16,2026-04-17,1883,1883 Syrup Pump (Plastic),EWR1,Code Brew - 71 Boyle Avenue,No,Disabled,1
2535,2026-04-16,2026-04-17,Olipop,Olipop Prebiotic Soda - Cherry Cola 12 fl oz (Shelf Stable Sleek Cans),DFW1,Cafe Duro - 2804 Greenville Avenue,No,Disabled,1
2536,2026-04-16,2026-04-17,Topo Chico,Topo Chico Sparkling Mineral Water 12oz,DCA1,Union Kitchen - 538 3rd St NE,No,Disabled,1
2537,2026-04-16,2026-04-17,Monin,Monin Strawberry Syrup 1 Liter Plastic Bottle,PWM1,Cibo Café & Bistro - 1179 Main Street,No,Disabled,8
2538,2026-04-16,2026-04-18,Loonen,Loonen Still Water 750mL Glass Bottle,EWR1,Matchaful - 184 Prince Street,No,Disabled,4
2539,2026-04-16,2026-04-17,1883,1883 Smoked Vanilla Syrup 1L Glass,SDF1,The French Press - 110 West Laporte Street,No,Disabled,1
2540,2026-04-16,2026-04-17,Monin,Monin Sugar Free Vanilla Syrup 750ml Glass,DEN1,Forte Portland - 5445 DTC Parkway,No,Disabled,1
2541,2026-04-16,2026-04-17,Monin,Monin Sugar Free Vanilla Syrup 750ml Glass,DEN1,CSU - Sweet Temptations,No,Disabled,4
2542,2026-04-16,2026-04-17,Karat,"Karat Earth Compostable White Giant Straw, Wrapped, 7.75"" (KE-C9240 (White))",EWR1,Joe Coffee - 5. Columbia Law School (1125 Amsterdam),No,Disabled,2
2543,2026-04-16,2026-04-17,1883,1883 Mango Syrup 1L PLASTIC,EWR1,Haraz Coffee House - 89 Hudson Street,No,Disabled,2
2544,2026-04-16,2026-04-17,1883,1883 Tiramisu Syrup 1L Glass Bottle,LAX1,ARK FNC - 13391 South Beach Blvd unit b,No,Disabled,2
2545,2026-04-16,2026-04-20,Proper Syrup,Proper Syrup Vanilla 750ml,EWR1,Jefferson's Coffee - 534 Washington Street,No,Disabled,2
2546,2026-04-16,2026-04-20,1883,1883 Banana Syrup 1L Glass Bottle,MDT1,Whiff Roasters - 219 E Main St,No,Disabled,6
2547,2026-04-16,2026-04-17,Poppy's,Poppy's Rosemary Loaf - 1 / 112 ct box,DCA1,Union Kitchen - 430 8th St SE,No,Disabled,1
2548,2026-04-16,2026-04-18,Transcendence Coffee,Transcendence Algerian Baklava Syrup 750mL Bottle,EWR1,Mandy Bean - 2361 Central Park Avenue,No,Disabled,24
2549,2026-04-16,2026-04-17,Big Train,Big Train Espresso Blended Iced Coffee 3.5 lb. Bag(s),DEN1,The Crooked Cup - 147 W. Oak St #101,No,Disabled,1
2550,2026-04-16,2026-04-17,Monin,Monin Wildberry Puree 1L,MIA1,Harbest Specialty Coffee - Brickell,No,Disabled,1
2551,2026-04-16,2026-04-17,BKE Kombucha,"BKE Citrus, Coriander, & Ginger Kombucha",EWR1,red eye cafe - 94 Walnut Street,No,Disabled,1
2552,2026-04-16,2026-04-17,Monin,Monin Plastic Bottle Pump,SEA1,Grounds Coffee Co - 16412 Broadway Avenue,No,Disabled,3
2553,2026-04-16,2026-04-17,Karat,Karat U-Shape Clear Cold Cup 16oz (C-KC16-U),EWR1,Hybrid Coffee & Kitchen - 573 Palisade Avenue,No,Disabled,1
2554,2026-04-16,2026-04-18,Topo Chico,Topo Chico Lime 12oz,LAX1,Chamberlain Coffee Inc. - 10250 Santa Monica Boulevard,No,Disabled,1
2555,2026-04-16,2026-04-17,Zoi,Zoi Plain Greek Yogurt 32oz,BLI1,Ben's Market - 2418 Alabama St,No,Disabled,3
2556,2026-04-16,2026-04-17,Torani,Torani Sugar Free Salted Caramel Syrup 1L Plastic Bottle,DFW1,The Human Bean Corp - West Odessa - Carmen - 2611 FM 1936,No,Disabled,1
2557,2026-04-16,2026-04-17,Little West,Little West Orange Juice 12oz (Case 9x),LAX1,Platinum Equity - 360 North Crescent Drive,No,Disabled,2
2558,2026-04-16,2026-04-18,Janico Inc.,Janico Inc Spray Bottle 32oz,EWR1,swallow cafe - 205 North 9th Street,No,Disabled,1
2559,2026-04-16,2026-04-20,Torani,Torani Pistachio Syrup 750ml Plastic Bottle,ATL1,Cafe Foam - 7788 McGinnis Ferry Road,No,Disabled,2
2560,2026-04-16,2026-04-17,Karat,"Karat PFAS Free Compostable Bagasse Hinged Container, 9'' x 6'' (KE-BHC96-1CFF)",EWR1,Pi Bakerie - 512 Broome Street,No,Disabled,2
2561,2026-04-16,2026-04-17,Loonen,Loonen Still Water 750mL Glass Bottle,EWR1,Cafe Sophia LLC - 1029 Cortelyou Road,No,Disabled,2
2562,2026-04-16,2026-04-21,Karat,Karat PET Cold Cup 20oz (C-KC20),ATL1,Three Peaches Gelato - 985 Monroe Drive Northeast,No,Disabled,1
2563,2026-04-16,2026-04-20,1883,1883 Watermelon Syrup 1L Glass Bottle,MDT1,Regency Coffee - 5751 General Washington Drive,No,Disabled,6
2564,2026-04-16,2026-04-17,Karat,"Karat Earth Compostable White Giant Straw, Wrapped, 7.75"" (KE-C9240 (White))",EWR1,Overflow Coffee - 46-36 Vernon Boulevard,No,Disabled,1
2565,2026-04-16,2026-04-20,Monin,Monin French Raspberry Syrup 750mL Glass,HOU1,The Whitehall Hotel - 1700 Smith Street,No,Disabled,1
2566,2026-04-16,2026-04-17,AEON Packaging,Aeon Packaging White Double-Walled Squat Hot Cup 8oz,LAX1,Communitea Cofee - 1015 East Imperial Highway,No,Disabled,1
2567,2026-04-16,2026-04-18,Jade Leaf Matcha,Jade Leaf Artisanal Barista Edition Ceremonial Grade Matcha 1lb,LAX1,Red Maple Cafe - 10123 Riverside Drive,No,Disabled,3
2568,2026-04-16,2026-04-17,P3,P3 Turkey Almonds Colby Jack Portable Protein Pack - 10 / 2 oz ea,DCA1,Union Kitchen - 538 3rd St NE,No,Disabled,1
2569,2026-04-16,2026-04-17,Monin,Monin Pistachio Syrup 750 ml Glass,SEA1,Grounds Coffee Co - 15012 Juanita Drive Northeast,No,Disabled,1
2570,2026-04-16,2026-04-17,Karat,"Karat Low Density 40-45 Gallon Trash Can Liner, 40"" x 46"", 1.2 Mil (JS-LL404612B)",PDX1,Prince Coffee - 915 Northwest 19th Avenue,No,Disabled,1
2571,2026-04-16,2026-04-17,Monin,Monin Passion Fruit Puree 1L,CLT1,YHWH Latte - PICK UP - 3800 Woodpark Blvd,No,Disabled,1
2572,2026-04-16,2026-04-20,Harney,Harney Orange Mango 16oz Bottle,SMF1,Daycamp Coffee - 1925 Market Pl suite 150,No,Disabled,1
2573,2026-04-16,2026-04-17,Torani,Torani Cherry Syrup 1L Plastic Bottle,HOU1,The Tea League - PICK UP - 3729 East League City Parkway,No,Disabled,1
2574,2026-04-16,2026-04-17,1883,1883 Syrup Pump (Plastic),EWR1,Cafe Sophia LLC - 1029 Cortelyou Road,No,Disabled,5
2575,2026-04-16,2026-04-17,Torani,Torani Watermelon Syrup 750ml Glass Bottle,SEA1,Unity coffee - 14106 Juanita Drive Northeast,No,Disabled,1
2576,2026-04-16,2026-04-17,Monin,Monin Peach Smoothie 46oz,MDT1,House of Gains - York,No,Disabled,6
2577,2026-04-16,2026-04-23,Whalebird Kombucha,Whalebird Kombucha - Manguava 16oz,SMF1,Caffé Pagato - Mercy - 2175 Rosaline Ave,No,Disabled,1
2578,2026-04-16,2026-04-17,Monin,Monin Organic Hazelnut Syrup 750ml Glass,EWR1,Madman Espresso - 234 West 35th Street,No,Disabled,2
2579,2026-04-16,2026-04-17,Zoi,Zoi Plain Greek Yogurt 32oz,BLI1,ISLANDER GROCERY - 2106 S Nugent Rd - PICKUP,No,Disabled,2
2580,2026-04-16,2026-04-17,Karat,"Karat Earth Compostable White Giant Straw, Wrapped, 7.75"" (KE-C9240 (White))",EWR1,Day Drinks - 75 9th Ave,No,Disabled,2
2581,2026-04-16,2026-04-17,DaVinci Gourmet,Da Vinci SUGAR FREE Caramel Syrup 750 ml PLASTIC Bottle,MDT1,Cafe on the Bay - 19 Bohemia Ave,No,Disabled,2
2582,2026-04-16,2026-04-17,Monin,Monin Sugar Free Strawberry Syrup 750mL Glass,DEN1,Cocos Cafe LLC - 6560 W 29th St,No,Disabled,1
2583,2026-04-16,2026-04-20,Karat,"Karat Earth PFAS Free, Natural Compostable Bagasse Hinged Container, 8'' x 8'' (KE-BHC88N-1CFF)",SEA1,Hotwire Coffee - 4410 California Avenue Southwest,No,Disabled,1
2584,2026-04-16,2026-04-17,MELA Watermelon Water,Mela Water - Watermelon Original 16.9oz,LAX1,The Station - 61943 29 Palms Highway,No,Disabled,2
2585,2026-04-16,2026-04-17,Red Jacket Orchards,Red Jacket Zinger Lemonade 1/2 Gallon,EWR1,LACKAWANNA COFFEE - Lackawanna Coffee-WAREHOUSE CAFE: 140 Bay Street,No,Disabled,1
2586,2026-04-16,2026-04-17,Humankind,Humankind Orange Juice 10oz,EWR1,Tierra Encanto LLC - 35 North Beverwyck Road,No,Disabled,1
2587,2026-04-16,2026-04-17,Monin,Monin Sugar Free Vanilla Syrup 750ml Glass,DEN1,KTKT LLC (DBA. Cuppy's Coffee) - 353 West Drake Road #120,No,Disabled,1
2588,2026-04-16,2026-04-20,1883,1883 Blueberry Syrup 1 Liter Plastic,AUS1,Summer Moon [C+F] - Corporate - Dell Diamond - 3800 East Palm Valley Boulevard - Summer Moon 24,No,Disabled,2
